id,priority,priority_name,requirement,verify,verify_name,section,section_title,detail_in
R1.1,T,threshold,The probe SHALL reply to every uplink frame delivered to its UART with `ACK` or `NAK <code>` within 2 s of delivery (simulated transmission delay excluded).,T,test,6.1,Gameplay & Feedback,
R1.2,T,threshold,ACK/NAK replies SHALL encode command receipt and execution status only; no probe reply SHALL encode objective state.,I,inspection,6.1,Gameplay & Feedback,
R2.1,T,threshold,The daemon SHALL re-evaluate every active objective assertion within one telemetry period of receiving each downlink frame.,T,test,6.1,Gameplay & Feedback,
R2.2,T,threshold,"Objective state SHALL be derived solely from introspected probe memory, decoded downlink telemetry, and the command log; the platform SHALL expose no player-accessible input that sets objective state directly.",I,inspection,6.1,Gameplay & Feedback,
R3.1,T,threshold,"Every objective SHALL be in exactly one of four states at all times: `locked`, `active`, `complete`, or `failed`. Diagnostic ""partial"" text is a property of an `active` objective and SHALL NOT be represented as a state.",T,test,6.1,Gameplay & Feedback,
R3.2,T,threshold,"Within 2 s of a partial condition first holding for an `active` objective, the console SHALL display that condition's scenario-authored diagnostic text, and SHALL clear it within 2 s of no partial condition holding.",D,demonstration,6.1,Gameplay & Feedback,
R3.3,T,threshold,"An objective that reaches complete SHALL remain complete for the rest of the scenario run, and the completion SHALL be persisted to the save volume within 5 s.",T,test,6.1,Gameplay & Feedback,
R3.4,T,threshold,"The console SHALL reveal each authored hint once its objective has been `active` for the authored frame count, SHALL reveal hints cumulatively, and SHALL reveal no hint or brief for a `locked` objective.",D,demonstration,6.1,Gameplay & Feedback,
R4.1,T,threshold,"The daemon SHALL delay each uplink by the scenario-configured one-way transmission delay, configurable from 0 to 3600 s in 1 s increments.",T,test,6.1,Gameplay & Feedback,
R4.2,T,threshold,"The daemon SHALL meter **only state-changing uplinks** (`POKE`, `CALL`, `TRIM`, `SAFE`) against the scenario-configured command budget (1–1000 commands per window; window length 10–86 400 s), and SHALL reject each over-budget command with a distinct console error without forwarding it to the probe.",T,test,6.1,Gameplay & Feedback,Firmware Design Specification; Scenario Package Format; Introspection API
R4.3,T,threshold,"Read-only uplinks (`PING`, `STAT`, `PEEK`, `DUMP`, `AUTH`) SHALL NOT consume the command budget. Where a scenario limits observation it SHALL do so through a separate read allowance, configurable 1–10 000 commands per window.",T,test,6.1,Gameplay & Feedback,Firmware Design Specification; Scenario Package Format; Introspection API
R5.1,T,threshold,"If the application fails to reload the watchdog for 3 s (±1 tick at 100 Hz), the firmware SHALL reset and restore the golden image.",T,test,6.1,Gameplay & Feedback,
R5.2,T,threshold,"Within 10 s of a watchdog reset, downlink telemetry SHALL resume with the reboot counter incremented by exactly 1 and reported uptime under 10 s.",T,test,6.1,Gameplay & Feedback,
R5.3,T,threshold,A POKE addressed to any protected region SHALL return `NAK E04` and SHALL leave all probe memory unmodified.,T,test,6.1,Gameplay & Feedback,
R6.1,O,objective,The console SHALL retain and recall at least the most recent 500 uplink commands per player across sessions.,D,demonstration,6.1,Gameplay & Feedback,
R6.2,O,objective,"The console SHALL transmit a player-supplied batch file of up to 100 commands in file order, subject to the same delay and budget enforcement as typed commands.",D,demonstration,6.1,Gameplay & Feedback,
R7,S,stretch,"A player-triggered scenario reset, if provided, SHALL preserve the command log and no other player state.",D,demonstration,6.1,Gameplay & Feedback,
R8.1,T,threshold,"The player-facing firmware SHALL be bare-metal ARM Thumb-2 targeting Cortex-M4, with no OS or runtime beyond the shipped image.",I,inspection,6.2,Reverse Engineering Surface,
R8.2,T,threshold,"`probe.bin` plus the published memory map SHALL load into stock Ghidra (v11.0 or later) such that auto-analysis completes with no manual processor configuration and identifies ≥ 90 % of application functions, measured against the instructor-side symbol map.",D,demonstration,6.2,Reverse Engineering Surface,
R9.1,T,threshold,"The reference scenario SHALL contain at least 4 graded objectives, including at least one each of: data patch, configuration patch, code patch, and code injection.",D,demonstration,6.2,Reverse Engineering Surface,Scenario Author's Guide
R9.2,O,objective,"Each graded objective SHALL be solvable by at least 2 distinct patch strategies, both documented instructor-side.",A,analysis,6.2,Reverse Engineering Surface,Scenario Author's Guide
